Name,Team,Games Played,Passing Yards,Passing TDs,Interceptions,Completion %,Passer Rating,Rushing Yards,Rushing TDs,Total TDs,Yards/Game,TD/INT Ratio
Josh Allen,Bills,16,4283,35,14,63.3,91.5,762,7,42,315.3125,2.5
Patrick Mahomes,Chiefs,17,5250,41,12,67.1,105.2,358,4,45,329.88235294117646,3.4166666666666665
Jalen Hurts,Eagles,15,3701,22,6,66.5,101.5,760,13,35,297.4,3.6666666666666665
Joe Burrow,Bengals,16,4475,35,12,68.3,100.8,257,5,40,295.75,2.9166666666666665
Justin Herbert,Chargers,17,4739,25,10,67.0,93.2,147,0,25,287.4117647058824,2.5
