Name,Team,Games Played,Passing Yards,Passing TDs,Interceptions,Completion %,Passer Rating,Rushing Yards,Rushing TDs,Sacks Taken,Fumbles,Total Yards,Total TDs,Yards/Attempt,TD/Turnover Ratio
Josh Allen,Bills,16,4283,35,14,63.3,91.5,762,7,33,5,5045,42,267.6875,2.210526315789474
Patrick Mahomes,Chiefs,17,5250,41,12,67.1,105.2,358,4,26,2,5608,45,308.8235294117647,3.2142857142857144
Jalen Hurts,Eagles,15,3701,22,6,66.5,101.5,760,13,38,8,4461,35,246.73333333333332,2.5
Joe Burrow,Bengals,16,4475,35,12,68.3,100.8,257,5,41,4,4732,40,279.6875,2.5
Justin Herbert,Chargers,17,4739,25,10,67.0,93.2,147,0,35,6,4886,25,278.7647058823529,1.5625
